x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mzmed,rtmed,,,NM241,NM242,NM243,NM244,NM245,NM246,NMINF241,NMINF242,NMINF243,NMINF244,NMINF245,NMINF246,AM241,AM242,AM243,AM244,AM245,AM246,AMINF241,AMINF242,AMINF243,AMINF244,AMINF245,AMINF246
,1036.325343,269.4877597,,,240760.919,208862.8853,132073.3565,238106.0346,201655.0556,199354.864,148387.5976,199431.0554,44995.39311,296569.7534,79118.78412,221381.8996,65967.25749,25595.59844,37574.70518,32992.77045,30947.39986,16710.65284,149470.3135,190063.6213,200039.2423,156333.6361,167302.6674,188667.5968
,422.7420832,237.7582634,,,24576.26779,33826.18188,22860.55885,27338.37604,24621.33839,23745.34938,14694.93695,5263.389597,2807.817461,7009.662406,7849.677389,3729.134812,7992.109854,7324.307531,1709.636741,8381.524176,4388.645696,7274.702057,13229.26098,59505.41478,30059.23506,38271.08533,16195.95103,27889.72007
,215.5165258,37.2176955,,,4315.003449,4748.71308,5150.146449,3801.339851,5572.82562,3828.446243,3633.488985,18527.46187,757.0282956,5689.460617,1394.391302,4744.586469,1960.623738,712.3304565,750.6573434,1478.312537,1066.638515,674.3246493,4425.668943,4769.194773,5084.309867,4724.909986,3524.717475,3871.68449
,579.3927844,336.2648858,,,263501.3746,380718.5884,643618.5641,361057.8499,445361.9059,478832.26,202127.755,312625.6683,158918.4378,386472.9878,167378.2253,307530.9834,70067.61086,90290.81765,71800.92099,114901.3369,71299.57519,75875.85675,216268.7761,281643.1515,364856.5561,154688.7361,261552.4966,271794.9055
,453.7554043,280.6615549,,,1607.636112,2457.404446,2617.923021,3106.925925,2160.671436,2420.692661,3550.060625,2257.402389,2732.202088,2978.029023,3358.152388,1789.072252,3904.744594,4605.592304,4176.091692,4806.584741,4380.73677,3967.935145,3342.478621,3134.611791,3082.971779,2227.463015,1801.639737,2419.882542
,1036.030118,269.8790073,,,43439.06755,70456.76431,3432.967342,68898.01636,95887.00183,85220.08578,933.3714571,50182.48785,16884.30384,77022.28834,23539.77662,64417.33075,20871.83866,4163.6539,6952.59377,10145.02436,12493.9575,8922.216475,31133.19153,53890.07792,2932.985874,40883.9566,53291.84125,2258.601533
,713.7763694,304.6249065,,,9514.107661,8543.701203,16378.1275,12330.35661,13279.18982,14273.29267,5320.947107,3674.317834,4681.897828,12295.76037,3323.152388,6408.067512,4085.738694,3692.397392,4165.728521,3875.993563,3098.866211,1675.400363,4993.446406,8182.061934,10555.09413,7349.285063,7339.895772,9003.073078
,577.3736287,337.6263485,,,136372.1539,180446.05,274902.3918,155303.1032,200215.2702,187042.078,77320.53289,205484.6382,50242.98639,153986.4467,52143.84362,122905.0397,53915.72294,24487.63909,29908.53933,39259.93275,1542.866818,23384.10365,85088.04894,131413.9787,1258.22795,93177.016,97339.88998,111252.0527
,425.0475697,37.21103427,,,3248.295835,120270.4652,158068.0042,119999.3878,122638.1813,128149.2719,87683.86509,291475.2286,33582.16459,3614.535815,35364.62402,158840.4347,50913.13597,2326.063657,32854.42589,28714.56465,32272.20391,22632.33388,120437.7816,144801.5824,123894.1122,130048.7449,102931.0654,120574.2649
,590.3311455,310.971104,,,3257.670964,7107.943314,3876.775376,1221.552401,3638.206095,2726.479362,1947.779579,6052.586983,1380.001736,2529.415138,2017.813737,3625.974683,1062.561362,1669.552487,1036.61593,1492.475905,1160.339206,1884.766717,2554.871231,6434.64358,3217.093186,4543.151598,2074.393102,3755.464752
,261.0755934,258.7405116,,,19558.56395,13735.67096,9186.966443,15979.25222,10396.26054,9831.73121,32593.29882,9514.774827,46116.90025,13928.6196,26512.02349,12284.53568,37899.37712,52476.24804,51796.10484,37710.45083,41280.51409,43497.35191,18418.6272,15722.87185,18858.42794,18260.67057,13288.44542,13587.41111
,525.2690836,337.1224117,,,1674786.529,2455149.182,1924149.067,2382739.438,2090722.82,2232435.952,1782102.068,2992809.8,1109780.877,2702308.498,1592612.535,2466047.661,1105402.534,891231.935,693701.0956,1066429.868,895347.9812,780004.8846,1773864.148,2388525.563,1781768.641,2195746.893,1825039.663,2067924.567
,1056.511872,269.9155801,,,501891.8128,542752.0953,650106.661,555868.2294,596170.8007,570700.0488,465481.3737,579882.6297,423314.2948,580369.1746,466756.3355,540302.6074,402459.4346,351079.5311,393757.4928,392680.163,388147.6845,344624.0274,464732.6226,518202.7141,595963.7489,496291.962,528566.7309,518349.1709
,421.1555543,288.2439995,,,13210.5615,18373.02626,14216.9429,19950.35272,15853.96434,10074.61452,7790.08272,9766.677244,2735.398085,9289.609248,6943.795608,10031.24496,8471.017421,3306.06515,6899.062413,5421.380393,5522.091708,4154.873475,11972.01431,2257.946095,13129.04054,14699.67881,9390.266804,11484.82843
,262.0800721,258.7764922,,,2650.255383,2871.318525,2045.794028,2477.529987,1722.888098,906.6176372,4799.531715,1813.591099,5649.03134,2442.524173,4386.319625,1899.905621,5613.223129,6280.370747,6522.642105,5594.431312,4882.822423,5885.492618,4202.010807,3403.68912,3208.092298,994.2834762,2913.591039,2455.871394
,872.486407,269.8742448,,,60912.8663,62737.6036,113025.6642,59825.00883,91201.77629,74452.96974,59976.64233,69835.49502,42465.44362,84340.40029,55103.63074,78783.96686,46517.3927,30246.4167,36242.00397,27095.79781,34528.11073,31707.88738,56386.13626,69987.68812,62191.55796,57700.59074,57042.73744,58663.72167
,404.0282324,50.07700682,,,3387.67764,2620.702781,3278.624489,3189.341842,2656.996726,3305.395815,2247.701563,2963.714366,1543.155125,4200.219382,1970.692086,2926.421318,1272.30491,1369.871053,1515.337199,2137.241673,1892.551254,1321.574067,3372.299506,3001.618334,3128.674836,2185.848114,1006.501739,1698.34444
,331.2334642,410.2579645,,,88111.27876,218824.7696,146786.7508,178643.1566,118451.3744,192685.7994,91289.4908,202991.4832,53734.78878,162299.99,102296.729,143637.4527,39915.85821,77325.71239,54785.78111,50889.23938,42769.06997,48348.66542,85246.96792,203620.6165,134677.0423,144694.0346,87628.32998,150045.7065
,307.2370116,385.3426413,,,540646.5012,671663.4441,531489.6147,627131.6959,532478.8639,554420.1303,515408.3391,692542.3948,328970.8317,616789.9242,417594.2716,516395.2966,377439.1328,309349.4794,295265.8796,345412.6287,303498.3363,287049.6101,573248.6806,646751.751,501193.3537,610100.4703,492160.0591,508429.0974
,1039.545486,269.9273847,,,58780.09927,61167.20226,16222.93345,52027.83526,10110.84234,38138.81039,41065.47907,7721.610535,19200.94469,62453.60878,26449.55257,43540.93309,24428.04657,10043.66569,19989.69086,17684.94263,22775.7251,13776.16374,52484.99501,46554.50041,52877.75159,46151.25518,57664.02216,40781.8184
,578.3943144,332.8835026,,,356634.0994,151425.09,1269249.093,257883.2967,283051.3252,291514.2548,201441.6957,321904.7403,123999.1942,254416.223,181232.3826,232031.0529,149535.093,90508.87091,113135.1271,134897.9992,128259.1736,108196.3714,196412.9719,215667.7955,247490.7763,187074.0493,193122.6775,197811.5647
,526.2726915,337.1233668,,,435806.3127,636109.6479,514983.4133,622820.729,557376.3746,575186.6361,459313.9283,807107.9745,257506.4536,742547.1835,399102.2897,649358.2949,261654.5675,201096.3951,155979.4944,260823.3336,196872.8624,169370.8814,450241.0318,620013.6795,449568.4091,569225.4835,479007.8336,525308.6044
,676.3710853,227.4703558,,,61061.62797,110706.6716,75968.57078,90567.23537,56401.13248,93556.473,24090.4635,92691.64055,16993.39172,52378.98257,19921.1368,63378.21715,1731.754441,10839.41104,11039.28786,1901.402961,6368.000272,11498.6396,36386.69912,80055.89901,44424.96953,66456.02571,2187.859119,3286.373085
,252.1688962,298.6287933,,,259343.1727,256218.5472,254718.904,285770.7815,276099.0549,257308.0082,329154.4803,226571.491,457470.6367,279432.3034,401069.0957,277207.6824,409149.7856,510530.4843,487668.7781,456713.0552,432371.8084,467356.912,313753.7762,305069.2089,312105.7089,311031.7453,314492.5613,298096.676
,348.0794992,126.7663085,,,265986.0822,479724.6294,364439.4944,433192.6618,326164.7182,392808.9922,174698.5603,605372.2313,25171.16351,436941.3101,83498.5419,292770.9341,59651.01605,120078.6049,21224.93164,89320.26606,23555.5776,62967.23073,546973.8739,659687.311,292813.5073,587768.3908,413074.7921,418328.7417
,1034.661396,270.1593939,,,1095264.247,941000.1526,52329.36336,979713.9282,873649.2339,20073.34652,843923.9868,363815.8418,563752.4109,1030254.334,653397.9004,976078.6068,641623.6996,479103.0246,510983.3707,521557.8678,530064.085,396885.6047,826798.5702,918754.2833,765427.966,851223.9234,893218.9011,900394.5405
